datetime,arithmetic_mean,aqi,first_max_value,first_max_hour,county_code,state_code,parameter_code,parameter,sample_duration_code,sample_duration,pollutant_standard,units_of_measure
2022-12-25,16.666666666666668,15.333333333333334,16.666666666666668,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2022-12-28,6.0,5.666666666666667,6.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-01-03,6.666666666666667,6.333333333333333,6.666666666666667,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-01-06,11.333333333333334,10.666666666666666,11.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-01-09,5.666666666666667,5.333333333333333,5.666666666666667,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-01-12,12.333333333333334,11.333333333333334,12.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-01-15,6.333333333333333,6.0,6.333333333333333,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-01-18,10.333333333333334,9.666666666666666,10.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-01-21,17.333333333333332,16.0,17.333333333333332,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-01-24,20.0,18.666666666666668,20.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-01-27,15.666666666666666,14.666666666666666,15.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
