datetime,arithmetic_mean,aqi,first_max_value,first_max_hour,county_code,state_code,parameter_code,parameter,sample_duration_code,sample_duration,pollutant_standard,units_of_measure
2013-07-15,0.0031,,0.0031,0.0,019,06,12128,Lead (TSP) STP,7,24 HOUR,Lead Quarterly 1978,Micrograms/cubic meter (25 C)
2013-07-21,0.00265,,0.00265,0.0,019,06,12128,Lead (TSP) STP,7,24 HOUR,Lead Quarterly 1978,Micrograms/cubic meter (25 C)
2013-07-27,0.00215,,0.00215,0.0,019,06,12128,Lead (TSP) STP,7,24 HOUR,Lead Quarterly 1978,Micrograms/cubic meter (25 C)
2013-08-03,0.0039,,0.0039,0.0,019,06,12128,Lead (TSP) STP,7,24 HOUR,Lead Quarterly 1978,Micrograms/cubic meter (25 C)
2013-08-08,0.0014,,0.0014,0.0,019,06,12128,Lead (TSP) STP,7,24 HOUR,Lead Quarterly 1978,Micrograms/cubic meter (25 C)
2013-08-14,0.0038,,0.0038,0.0,019,06,12128,Lead (TSP) STP,7,24 HOUR,Lead Quarterly 1978,Micrograms/cubic meter (25 C)
2013-08-20,0.0035499999999999998,,0.0035499999999999998,0.0,019,06,12128,Lead (TSP) STP,7,24 HOUR,Lead Quarterly 1978,Micrograms/cubic meter (25 C)
2013-08-26,0.0023,,0.0023,0.0,019,06,12128,Lead (TSP) STP,7,24 HOUR,Lead Quarterly 1978,Micrograms/cubic meter (25 C)
2013-09-01,0.00295,,0.00295,0.0,019,06,12128,Lead (TSP) STP,7,24 HOUR,Lead Quarterly 1978,Micrograms/cubic meter (25 C)
2013-09-10,0.0055,,0.0055,0.0,019,06,12128,Lead (TSP) STP,7,24 HOUR,Lead Quarterly 1978,Micrograms/cubic meter (25 C)
2013-09-13,0.01135,,0.01135,0.0,019,06,12128,Lead (TSP) STP,7,24 HOUR,Lead Quarterly 1978,Micrograms/cubic meter (25 C)
2013-09-19,0.0062,,0.0062,0.0,019,06,12128,Lead (TSP) STP,7,24 HOUR,Lead Quarterly 1978,Micrograms/cubic meter (25 C)
2013-09-25,0.0014,,0.0014,0.0,019,06,12128,Lead (TSP) STP,7,24 HOUR,Lead Quarterly 1978,Micrograms/cubic meter (25 C)
2013-10-01,0.002,,0.002,0.0,019,06,12128,Lead (TSP) STP,7,24 HOUR,Lead Quarterly 1978,Micrograms/cubic meter (25 C)
2013-10-07,0.00635,,0.00635,0.0,019,06,12128,Lead (TSP) STP,7,24 HOUR,Lead Quarterly 1978,Micrograms/cubic meter (25 C)
2013-10-13,0.0032,,0.0032,0.0,019,06,12128,Lead (TSP) STP,7,24 HOUR,Lead Quarterly 1978,Micrograms/cubic meter (25 C)
2013-10-19,0.0092,,0.0092,0.0,019,06,12128,Lead (TSP) STP,7,24 HOUR,Lead Quarterly 1978,Micrograms/cubic meter (25 C)
2013-10-25,0.0069,,0.0069,0.0,019,06,12128,Lead (TSP) STP,7,24 HOUR,Lead Quarterly 1978,Micrograms/cubic meter (25 C)
2013-10-31,0.00745,,0.00745,0.0,019,06,12128,Lead (TSP) STP,7,24 HOUR,Lead Quarterly 1978,Micrograms/cubic meter (25 C)
2013-11-06,0.0086,,0.0086,0.0,019,06,12128,Lead (TSP) STP,7,24 HOUR,Lead Quarterly 1978,Micrograms/cubic meter (25 C)
2013-11-12,0.011,,0.011,0.0,019,06,12128,Lead (TSP) STP,7,24 HOUR,Lead Quarterly 1978,Micrograms/cubic meter (25 C)
