code,name
17243,"Indeno[1,2,3-cd]pyrene (TSP) STP"
17301,o-Cresol (TSP) STP
17302,m-Cresol (TSP) STP
17303,p-Cresol (TSP) STP
17502,Benzanthrone (TSP) STP
17710,o-Toluidine (TSP) STP
17716,"3,3'-Dichlorobenzidene (TSP) STP"
17725,Pentachloronitrobenzene (TSP) STP
17801,Trichlorobenzene (TSP) STP
17802,Tetrachlorobenzene (TSP) STP
17803,Pentachlorobenzene (TSP) STP
17804,Hexachlorobenzene (TSP) STP
17805,Dichlorophenol (TSP) STP
17806,Trichlorophenol (TSP) STP
17807,Tetrachlorophenol (TSP) STP
17808,Pentachlorophenol (TSP) STP
17809,"1,1-Biphenyl, chloro (TSP) STP"
17810,Dichlorobiphenyl (TSP) STP
17811,Trichlorobiphenyl (TSP) STP
17812,Tetrachlorobiphenyl (TSP) STP
17813,Pentachlorobiphenyl (TSP) STP
17814,Hexachlorobiphenyl (TSP) STP
17815,Heptachlorobiphenyl (TSP) STP
17816,Octachlorobiphenyl (TSP) STP
17817,Nonachlorobiphenyl (TSP) STP
17818,Decachlorobiphenyl (TSP) STP
17819,"2,3,7,8,-Tetrachlorodibenzo-p-dioxin"
17820,Total tetachlorodibenzo-p-dioxin (TSP) STP
17821,Total pentachlorodibenzo-p-dioxin (TSP) STP
17822,Total hexachlorodibenzo-p-dioxin (TSP) STP
17823,Total heptachlorodibenzo-p-dioxin (TSP) STP
17824,Total octachlorodibenzo-p-dioxin (TSP) STP
17825,"2,3,7,8-Tetrachlorodibenzofuran (TSP) STP"
17826,Total tetrachlorodibenzofuran (TSP) STP
17827,Total pentachlorodibenzofuran (TSP) STP
17828,Total hexachlorodibenzofuran (TSP) STP
17829,Total heptachlorodibenzofuran (TSP) STP
17830,Total octachlorodibenzofuran (TSP) STP
17833,Polychlorinated biphenyls (PCBs)
17835,Alpha-terpinene (TSP) STP
17902,"Dibenzo[b,e][1,4]dioxin,2,3,7,8-tetrachloro (TSP) STP"
17906,"2,4-Toluene Diisocyanate"
17907,D-limonene
17911,2-6-TOLUENEDIISOCYANATE
18202,Dibenzofuran (TSP) STP
21101,Total dustfall (SP)
21102,Organic Fraction (SP)
21103,Benzene Sol Org (SP)
21113,Inorganic Fractn (SP)
21114,Water Sol Weight (SP)
21115,Water Insol Wt (SP)
21116,Total Weight Ash (SP)
21117,Water Sol Ash (SP)
21118,Water Inso Ash (SP)
22102,Antimony (SP)
22103,Arsenic (SP)
22110,Cadmium (SP)
22111,Calcium (SP)
22112,Chromium (SP)
22114,Copper (SP)
22126,Iron (SP)
22128,Lead (SP)
22132,Manganese (SP)
22136,Nickel (SP)
22142,Mercury (SP)
22166,Silver (SP)
22167,Zinc (SP)
22203,Chloride(SP)
22301,Ammonium (SP)
22306,Nitrate (SP)
22403,Sulfate (SP)
22602,pH (Dustfall)
22604,Ammonia (SP)
25101,Dustfall Combustible (SP)
25303,Conductance (SP)
31101,Respirable part
42101,Carbon monoxide
42102,Carbon dioxide
42153,Carbon disulfide
42215,Chlorine
42242,Mercury (vapor)
42243,Mercury (Reactive Gaseous)
42269,Total sulfur
42301,Hydrobromic acid
42302,Hydrochloric acid
42303,Hydrofluoric acid
42304,Hydronium ion
42305,Nitric acid
42306,Sulfuric acid
42307,Phosphoric acid
42308,Nitrous acid
42401,Sulfur dioxide
42402,Hydrogen sulfide
42406,SO2 max 5-min avg
42410,Sulfation rate
42513,Fluoride ion
42600,Reactive oxides of nitrogen (NOy)
42601,Nitric oxide (NO)
42602,Nitrogen dioxide (NO2)
42603,Oxides of nitrogen (NOx)
42604,Ammonia
42605,NITROUS OXIDE
42607,Hydrogen cyanide
42609,Nitrite
42612,NOy - NO
43000,Sum of PAMS target compounds
43101,Total hydrocarbons
43102,Total NMOC (non-methane organic compound)
43104,Volatile organic compounds
43111,Isomers of dodecane
43121,Isomers of pentene
43122,3-Methyl-1-butene & Cyclopentene
43126,Ethylene & acetylene
43127,Isobutene & 1-butene
43130,"n-Octane & trans-1,3-dichloropropylene"
43131,Unidentified VOC
43134,"1,1-Bis(4-chlorophenyl)-2,2-dichloroethane"
43135,Birdin
43136,"2,4-Dichlorophenoxyacetic acid methyl ester"
43137,Lindane
43138,"1,2,3,4,5,6- Hexachlorocyclohexane"
43139,"1,2,3,4,5,6- Hexachlolocyclohexane, .beta.-"
43140,"1,2,3,4,5,6- Hexachlorocyclohexane, .delta.-"
43141,n-Dodecane
43142,Tridecene
43143,n-Tridecane
43144,Propyne
43145,1-Octene
43148,cis/trans-2-Butene
43149,cis/trans-2-Hexene
43150,cis/trans-2-Pentene
43151,Heptachlor epoxide
43152,Endrin ketone
43153,Methoxychlor
43154,Guthion
43155,Atrazine
43156,Dacthal
43157,Endosulfan
43158,Dursban
43159,Aldrin
43160,Methyl Parathion
43161,Endrin aldehyde
43162,"1,1,1-Trichloro-2,2-bis (p-chlorophenyl) ethane"
43163,Endosulfan 2
43164,Endrin
43165,Dieldrin
43166,"1,1-Dichloroethenylidene bis(4-chlorobenzene)"
43167,"Phosphorotrithioic acid,S,S,S-tributylester"
43168,Endosulfan sulfate
43169,Malathion
43170,Heptachlor
43171,"Cyclopentane & 2,3-dimethylbutane"
43172,2-Methylheptane & 3-Methylheptane
43173,1-Hexene & 2-Methyl-1-pentene
43174,"2,3-Dimethylbutane & 2-Methylpentane"
43175,Endosulfan 1 (alpha)
43188,Pinene & p-ethytoluene
43189,"beta.Pinene & 1,2,3- trimethylbenzene"
43201,Methane
43202,Ethane
43203,Ethylene
43204,Propane
43205,Propylene
43206,Acetylene
43207,Freon 113
43208,Freon 114
43209,Ethyl acetate
43212,n-Butane
43214,Isobutane
43216,trans-2-Butene
43217,cis-2-Butene
43218,"1,3-Butadiene"
43220,n-Pentane
43221,Isopentane
43222,"2,2-Dimethylpropane"
43223,"1,2-Butadiene"
43224,1-Pentene
43225,2-Methyl-1-butene
43226,trans-2-Pentene
43227,cis-2-Pentene
43228,2-Methyl-2-butene
43229,"1,3-Hexadiene"
43230,3-Methylpentane
43231,n-Hexane
43232,n-Heptane
43233,n-Octane
43234,4-Methyl-1-pentene
43235,n-Nonane
43236,2-Ethyl-1-butene
43237,2-Methyl-2-pentene
43238,n-Decane
